"filename", "language", "Rust", "Markdown", "TOML", "MS SQL", "Shell Script", "comment", "blank", "total"
"/Users/johnsonnifemi/Tradstry/backend/database/02_options/05_calculations/03_avg_hold_time_losers.sql", "MS SQL", 0, 0, 0, 61, 0, 7, 6, 74
"/Users/johnsonnifemi/Tradstry/backend/database/02_options/05_calculations/04_biggest_winner.sql", "MS SQL", 0, 0, 0, 67, 0, 7, 6, 80
"/Users/johnsonnifemi/Tradstry/backend/database/02_options/05_calculations/05_biggest_loser.sql", "MS SQL", 0, 0, 0, 67, 0, 7, 6, 80
"/Users/johnsonnifemi/Tradstry/backend/database/02_options/05_calculations/06_option_average_gain.sql", "MS SQL", 0, 0, 0, 54, 0, 77, 3, 134
"/Users/johnsonnifemi/Tradstry/backend/database/02_options/05_calculations/07_option_average_loss.sql", "MS SQL", 0, 0, 0, 54, 0, 78, 3, 135
"/Users/johnsonnifemi/Tradstry/backend/database/02_options/05_calculations/08_option_net_pnl.sql", "MS SQL", 0, 0, 0, 38, 0, 69, 2, 109
"/Users/johnsonnifemi/Tradstry/backend/database/02_options/05_calculations/09_option_risk_reward_ratio.sql", "MS SQL", 0, 0, 0, 25, 0, 63, 6, 94
"/Users/johnsonnifemi/Tradstry/backend/database/02_options/05_calculations/10_option_trade_expectancy.sql", "MS SQL", 0, 0, 0, 29, 0, 86, 4, 119
"/Users/johnsonnifemi/Tradstry/backend/database/02_options/05_calculations/11_option_win_rate_function.sql", "MS SQL", 0, 0, 0, 49, 0, 100, 4, 153
"/Users/johnsonnifemi/Tradstry/backend/database/02_options/05_calculations/12_average_position_size.sql", "MS SQL", 0, 0, 0, 53, 0, 7, 7, 67
"/Users/johnsonnifemi/Tradstry/backend/database/02_options/05_calculations/13_risk_per_trade.sql", "MS SQL", 0, 0, 0, 68, 0, 7, 8, 83
"/Users/johnsonnifemi/Tradstry/backend/database/02_options/05_calculations/14_loss_rate.sql", "MS SQL", 0, 0, 0, 65, 0, 7, 7, 79
"/Users/johnsonnifemi/Tradstry/backend/database/03_trade-notes/01_trade-note_table.sql", "MS SQL", 0, 0, 0, 10, 0, 4, 6, 20
"/Users/johnsonnifemi/Tradstry/backend/database/03_trade-notes/02_trade-note_upsert.sql", "MS SQL", 0, 0, 0, 28, 0, 2, 0, 30
"/Users/johnsonnifemi/Tradstry/backend/database/03_trade-notes/03_trade-note_delete.sql", "MS SQL", 0, 0, 0, 21, 0, 1, 0, 22
